NOM;NOM_BD;EQUIPE;MEMBRE;STATUT
CLERC P.;CLERC;E.H.GO;1;8
CHEVALIER J.-P.;CHEVALIER;E.H.GO;1;3
CHARPENTIER A.;CHARPENTIER;P.A.R.I.S;1;3
CHAMPIGNY J.;CHAMPIGNY;;0;NA
CATTAN N.;CATTAN;P.A.R.I.S;1;5
CAPDEPUY V.;CAPDEPUY;E.H.GO;1;3
CALLEN D.;CALLEN;P.A.R.I.S;1;3
CALENGE P.;CALENGE;;0;NA
BUXEDA C.;BUXEDA;;0;NA
BUHNIK S.;BUHNIK;C.R.I.A;1;3
BUARD E.;BUARD;P.A.R.I.S;1;3
BRETAGNOLLE A.;BRETAGNOLLE;P.A.R.I.S;1;9
BOULOC C.;BOULOC;P.A.R.I.S;1;3
BOULIER J.;BOULIER;P.A.R.I.S;1;8
BOUINOT J.;BOUINOT;;0;NA
BORDIN P.;BORDIN;P.A.R.I.S;1;3
BOMATI E.;BOMATI;E.H.GO;1;3
BOICHOT C.;BOICHOT;P.A.R.I.S;1;3
BLANCHARD E.;BLANCHARD;;0;NA
BLAIS H.;BLAIS;E.H.GO;1;3
BEYER A.;BEYER;C.R.I.A;1;3
BESSE J.-M.;BESSE;E.H.GO;1;5
BERROIR S.;BERROIR;P.A.R.I.S;1;8
BEN REBAH M.;BEN;;0;NA
BEAUGUITTE L.;BEAUGUITTE;E.H.GO;1;3
BEAUCIRE F.;BEAUCIRE;C.R.I.A;1;306
BAYINDIR GOULARAS G.;BAYINDIR;;0;NA
BAUDET-MICHEL S.;BAUDET-MICHEL;P.A.R.I.S;1;8
BARON M.;BARON;P.A.R.I.S;1;3
BANOS A.;BANOS;P.A.R.I.S;1;5
BAHOKEN F.;BAHOKEN;P.A.R.I.S;1;3
ANDRE E.;ANDRE;;0;NA
ALBECKER M.-F.;ALBECKER;C.R.I.A;1;3
AMARA M.;AMARA;;0;NA
ANDRIEUX F.;ANDRIEUX;E.H.GO;1;1
BAKBASA C.;BAKBASA;P.A.R.I.S;1;3
BAUDINAULT A.;BAUDINAULT;;0;NA
BENARD F.;BENARD;C.R.I.A;1;1
CAKANLAR Y.;CAKANLAR;P.A.R.I.S;1;3
CASANAS-CARBALLIDO J.;CASANAS-CARBALLIDO;P.A.R.I.S;1;1
CHAMP A.;CHAMP;E.H.GO;1;3
CHASSAGNE P.;CHASSAGNE;;0;NA
DHEE F.;DHEE;E.H.GO;1;3
DREVELLE M.;DREVELLE;C.R.I.A;1;3
DUTEL F.;DUTEL;;0;NA
GAGNIERE V.;GAGNIERE;C.R.I.A;1;3
JAMAULT C.;JAMAULT;;0;NA
LAOT B.;LAOT;E.H.GO;1;1
LAZAR M.;LAZAR;P.A.R.I.S;1;3
LEININGER-FREZAL C.;LEININGER-FREZAL;E.H.GO;1;3
LESTEVEN G.;LESTEVEN;C.R.I.A;1;3
MAULAT J.;MAULAT;C.R.I.A;1;8
MEHDI A.;MEHDI;E.H.GO;1;3
MINSTER C.;MINSTER;C.R.I.A;1;3
NGUIA KAHMA W.;NGUIA;;0;NA
PERSYN N.;PERSYN;C.R.I.A;1;3
PLEVEN B.;PLEVEN;E.H.GO;1;1
PLEVRIS K.;PLEVRIS;P.A.R.I.S;1;3
RAAD L.;RAAD;C.R.I.A;1;3
REMY S.;REMY;C.R.I.A;1;1
SAARELA S.;SAARELA;;0;NA
SPIRI J.;SPIRI;;0;NA
TROUDE A.;TROUDE;P.A.R.I.S;1;1
VALLEE J.;VALLEE;P.A.R.I.S;1;4
VANNIER C.;VANNIER;P.A.R.I.S;1;3
VIEILLARD-BARON E.;VIEILLARD-BARON;E.H.GO;1;3
VERON O.;VERON;;0;NA
VILA-VAZQUEZ J.-I.;VILA VAZQUEZ;P.A.R.I.S;1;3
WATEL R.;WATEL;C.R.I.A;1;1
BLIDON M.;BLIDON;E.H.GO;1;3
SWERTS E.;SWERTS;P.A.R.I.S;1;3
BARLES S.;BARLES;C.R.I.A;1;9
QUEVA C.;QUEVA;P.A.R.I.S;1;8
BAFFI S.;BAFFI;P.A.R.I.S;1;3
BOULARAN Z.;BOULARAN;P.A.R.I.S;1;1
CAPUTO M.-L.;CAPUTO;P.A.R.I.S;1;1
COTTINEAU C.;COTTINEAU;P.A.R.I.S;1;3
IGNAZZI COSMO A.;IGNAZZI;P.A.R.I.S;1;3
LIU CHUN Y.;LIU;C.R.I.A;1;1
TOUREILLE E.;TOUREILLE;P.A.R.I.S;1;1
BRUN G.;BRUN;P.A.R.I.S;1;1
COQUELLE J.;COQUELLE;E.H.GO;1;1
ESKANDER A.;ESKANDER;E.H.GO;1;3
OLMEDO E.;OLMEDO;E.H.GO;1;3
CITRON P.;CITRON;C.R.I.A;1;3
FROUILLOU L.;FROUILLOU;C.R.I.A;1;3
GEORGEAULT L.;GEORGEAULT;C.R.I.A;1;3
BOGNON S.;BOGNON;C.R.I.A;1;3
KANELLOPOULOU D.;KANELLOPOULOU;P.A.R.I.S;1;3
MANTRAN M.;MANTRAN;P.A.R.I.S;1;3
KIM E.;KIM;C.R.I.A;1;3
MARTY P.;MARTY;C.R.I.A;1;3
FAKHARIAN GHOM B.;FAKHARIAN GHOM;C.R.I.A;1;3
SIVAK H.;SIVAK;;0;NA
BROOMBERG J.;BROOMBERG;;0;NA
PERNET A.;PERNET;E.H.GO;1;3
SIMOES L.;SIMOES;E.H.GO;1;1
BRES A.;BRES;C.R.I.A;1;3
MANTRAN M.;MANTRAN;P.A.R.I.S;1;3
AVELINE-DUBACH N.;AVELINE;C.R.I.A;1;5
BAUDRY S.;BAUDRY;P.A.R.I.S;1;1
BERNADOU D.;BERNADOU;P.A.R.I.S;1;1
CHALONGE L.;CHALONGE;C.R.I.A;1;7
CURA R.;CURA;P.A.R.I.S;1;1
DEBRIE J.;DEBRIE;C.R.I.A;1;9
DELAVILLE D.;DELAVILLE;P.A.R.I.S;1;1
DENIS E.;DENIS;P.A.R.I.S;1;5
DESCLAUX-SALACHAS J.;DESCLAUX - SALACHAS;P.A.R.I.S;1;1
DOS S.;DOS SANTOS - SUTTON;P.A.R.I.S;1;1
DUBOS-PAILLARD E.;DUBOS-PAILLARD;P.A.R.I.S;1;8
DUROUDIER S.;DUROUDIER;P.A.R.I.S;1;1
FINANCE O.;FINANCE;P.A.R.I.S;1;3
GAUJAL S.;GAUJAL;E.H.GO;1;3
GEORGIKOPOULOS I.;GEORGIKOPOULOS;P.A.R.I.S;1;1
GIMAT M.;GIMAT;C.R.I.A;1;1
GIRAUD A.;GIRAUD;C.R.I.A;1;1
GRAVIER J.;GRAVIER;P.A.R.I.S;1;1
GUERIN A.;GUERIN;C.R.I.A;1;1
KAHN S.;KAHN;E.H.GO;1;1
LAMBERT A.;LAMBERT;C.R.I.A;1;1
LAMENIE B.;LAMENIE;P.A.R.I.S;1;1
LANGAR A.;LANGAR;P.A.R.I.S;1;1
LE-BIGOT B.;LE BIGOT;P.A.R.I.S;1;1
LE-CORRE T.;LE CORRE;P.A.R.I.S;1;1
LEHEC E.;LEHEC;C.R.I.A;1;1
LEPESANT G.;LEPESANT;P.A.R.I.S;1;5
LOPEZ P.;LOPEZ GUTIERREZ	;P.A.R.I.S;1;1
MAGNAN M.;MAGNAN;C.R.I.A;1;3
MALNAR D.;MALNAR;C.R.I.A;1;1
NAHASSIA L.;NAHASSIA;P.A.R.I.S;1;1
PATTE M.;PATTE;P.A.R.I.S;1;1
SIMON D.;SIMON;E.H.GO;1;1
SKOUFOGLOU E.;SKOUFOGLOU;P.A.R.I.S;1;1
PIERRE-MAGNANI C.;PIERRE-MAGNANI;P.A.R.I.S;1;1
QUEYROI F.;QUEYROI;P.A.R.I.S;1;4
THEBAULT E.;THEBAULT;C.R.I.A;1;1
VIANA-CERQUEIRA E.;VIANA;P.A.R.I.S;1;1
VON-HIRSCHHAUSEN B.;VON HIRSCHHAUSEN;P.A.R.I.S;1;4
PICHON M.;PICHON;E.H.GO;1;1
GOMES E.;GOMES COSTA;P.A.R.I.S;1;1
SINNO M.;SINNO;P.A.R.I.S;1;1
TABBITA J.;TABBITA;P.A.R.I.S;1;1
KOSOWSKA-STAMIROWSKA Z.;KOSOWSKA-STAMIROWSKA;P.A.R.I.S;1;1
RAIMBAULT J.;RAIMBAULT;P.A.R.I.S;1;1
ZDANOWSKA N.;ZDANOWSKA;P.A.R.I.S;1;1
VERHAEGHE L.;VERHAEGHE;C.R.I.A;1;1
TELLE O.;TELLE;P.A.R.I.S;1;4
LECLAIRE M.;LECLAIRE;C.R.I.A;1;6
REUILLON R.;REUILLON;P.A.R.I.S;1;4
HACHI R.;HACHI;P.A.R.I.S;1;1
PLATTARD O.;PLATTARD;P.A.R.I.S;1;1
OTT A.-C.;OTT;P.A.R.I.S;1;1
DUBREUIL A.;DUBREUIL;P.A.R.I.S;1;1
NUSSBAUM F.;NUSSBAUM;P.A.R.I.S;1;1
