id_article;id_rubrique;id_mot
5060;128;12
5060;128;249
5060;128;294
5060;128;303
5189;128;11
5189;128;26
5189;128;72
5189;128;271
5189;128;291
5189;128;294
5190;128;11
5190;128;23
5190;128;26
5190;128;72
5190;128;164
5190;128;294
5191;128;11
5191;128;21
5191;128;26
5191;128;72
5191;128;164
5191;128;294
5192;128;11
5192;128;26
5192;128;72
5192;128;271
5192;128;294
5193;128;13
5193;128;21
5193;128;24
5193;128;72
5193;128;174
5193;128;294
5194;128;11
5194;128;21
5194;128;26
5194;128;72
5194;128;178
5194;128;294
5195;128;13
5195;128;23
5195;128;25
5195;128;72
5195;128;105
5195;128;131
5195;128;165
5195;128;294
5196;128;11
5196;128;23
5196;128;26
5196;128;72
5196;128;164
5196;128;294
5197;128;12
5197;128;73
5197;128;154
5197;128;294
5197;128;305
5198;128;13
5198;128;25
5198;128;76
5198;128;103
5198;128;294
5199;128;13
5199;128;25
5199;128;76
5199;128;103
5199;128;294
5200;128;13
5200;128;25
5200;128;76
5200;128;103
5200;128;131
5200;128;294
5201;128;12
5201;128;76
5201;128;249
5201;128;294
5201;128;305
5202;128;13
5202;128;25
5202;128;76
5202;128;115
5202;128;294
5203;128;13
5203;128;25
5203;128;76
5203;128;115
5203;128;294
5204;128;11
5204;128;77
5204;128;271
5204;128;291
5204;128;294
5205;128;12
5205;128;77
5205;128;90
5205;128;294
5206;128;11
5206;128;26
5206;128;77
5206;128;271
5206;128;294
5207;128;11
5207;128;26
5207;128;77
5207;128;271
5207;128;294
5208;128;13
5208;128;77
5208;128;100
5208;128;294
5208;128;302
5209;128;11
5209;128;26
5209;128;77
5209;128;271
5209;128;294
5210;128;13
5210;128;77
5210;128;165
5210;128;195
5210;128;294
5211;128;13
5211;128;24
5211;128;77
5211;128;91
5211;128;294
5212;128;13
5212;128;84
5212;128;294
5212;128;303
5213;128;13
5213;128;23
5213;128;111
5213;128;229
5213;128;294
5214;128;11
5214;128;229
5214;128;271
5214;128;294
5216;128;11
5216;128;21
5216;128;26
5216;128;75
5216;128;178
5216;128;294
5217;128;12
5217;128;27
5217;128;75
5217;128;217
5217;128;294
5218;128;13
5218;128;111
5218;128;231
5218;128;294
5218;128;319
5219;128;13
5219;128;91
5219;128;231
5219;128;294
5220;128;13
5220;128;23
5220;128;111
5220;128;231
5220;128;294
5221;128;12
5221;128;74
5221;128;217
5221;128;294
5221;128;305
5222;128;13
5222;128;80
5222;128;155
5222;128;294
5222;128;302
5244;128;13
5244;128;25
5244;128;26
5244;128;76
5244;128;225
5244;128;294
5444;128;13
5444;128;77
5444;128;226
5444;128;294
5457;128;11
5457;128;26
5457;128;76
5457;128;164
5457;128;294
5458;128;13
5458;128;21
5458;128;24
5458;128;76
5458;128;174
5458;128;294
5459;128;13
5459;128;21
5459;128;24
5459;128;76
5459;128;179
5459;128;294
5460;128;12
5460;128;77
5460;128;217
5460;128;294
5460;128;305
5461;128;12
5461;128;77
5461;128;217
5461;128;294
5461;128;305
5463;128;12
5463;128;217
5463;128;229
5463;128;294
5464;128;12
5464;128;217
5464;128;229
5464;128;294
5506;128;13
5506;128;24
5506;128;25
5506;128;72
5506;128;140
5506;128;294
5507;128;13
5507;128;21
5507;128;24
5507;128;72
5507;128;174
5507;128;294
5508;128;13
5508;128;21
5508;128;24
5508;128;26
5508;128;72
5508;128;174
5508;128;294
5511;128;13
5511;128;23
5511;128;25
5511;128;72
5511;128;263
5511;128;294
5512;128;13
5512;128;77
5512;128;200
5512;128;294
5513;128;13
5513;128;25
5513;128;76
5513;128;103
5513;128;225
5513;128;294
5518;128;13
5518;128;200
5518;128;230
5518;128;294
5543;128;11
5543;128;22
5543;128;23
5543;128;72
5543;128;258
5543;128;294
5547;128;11
5547;128;22
5547;128;82
5547;128;258
5547;128;294
5548;128;13
5548;128;21
5548;128;23
5548;128;76
5548;128;162
5548;128;294
5550;128;13
5550;128;77
5550;128;131
5550;128;168
5550;128;209
5550;128;294
5552;128;13
5552;128;77
5552;128;168
5552;128;294
5559;128;13
5559;128;25
5559;128;72
5559;128;225
5559;128;294
5564;128;13
5564;128;24
5564;128;77
5564;128;101
5564;128;114
5564;128;294
5568;128;12
5568;128;78
5568;128;256
5568;128;294
5589;128;11
5589;128;26
5589;128;79
5589;128;158
5589;128;294
5594;128;13
5594;128;23
5594;128;72
5594;128;141
5594;128;294
5595;128;13
5595;128;23
5595;128;72
5595;128;141
5595;128;294
5596;128;13
5596;128;23
5596;128;76
5596;128;141
5596;128;294
5615;128;11
5615;128;253
5615;128;294
5615;128;301
5626;128;13
5626;128;213
5626;128;294
5626;128;301
5629;128;11
5629;128;26
5629;128;77
5629;128;251
5629;128;294
5640;128;13
5640;128;80
5640;128;162
5640;128;294
5655;128;12
5655;128;77
5655;128;217
5655;128;294
5655;128;305
5658;128;13
5658;128;80
5658;128;115
5658;128;294
5658;128;302
5659;128;13
5659;128;25
5659;128;26
5659;128;72
5659;128;225
5659;128;294
5664;128;13
5664;128;21
5664;128;25
5664;128;72
5664;128;225
5664;128;294
5668;128;12
5668;128;193
5668;128;229
5668;128;294
5672;128;12
5672;128;125
5672;128;229
5672;128;294
5678;128;12
5678;128;72
5678;128;125
5678;128;294
5678;128;305
6242;128;13
6242;128;72
6242;128;110
6242;128;115
6242;128;294
6242;128;305
6243;128;13
6243;128;24
6243;128;72
6243;128;115
6243;128;294
6244;128;11
6244;128;26
6244;128;72
6244;128;271
6244;128;294
6245;128;11
6245;128;26
6245;128;72
6245;128;271
6245;128;294
6246;128;13
6246;128;21
6246;128;24
6246;128;72
6246;128;174
6246;128;294
6247;128;13
6247;128;21
6247;128;24
6247;128;72
6247;128;174
6247;128;294
6248;128;13
6248;128;21
6248;128;24
6248;128;72
6248;128;174
6248;128;294
6249;128;13
6249;128;21
6249;128;24
6249;128;72
6249;128;174
6249;128;294
6250;128;11
6250;128;25
6250;128;72
6250;128;102
6250;128;294
6251;128;13
6251;128;25
6251;128;72
6251;128;115
6251;128;294
6252;128;13
6252;128;24
6252;128;72
6252;128;131
6252;128;152
6252;128;207
6252;128;294
6253;128;11
6253;128;23
6253;128;26
6253;128;72
6253;128;164
6253;128;294
6254;128;13
6254;128;23
6254;128;72
6254;128;111
6254;128;294
6255;128;11
6255;128;23
6255;128;72
6255;128;243
6255;128;294
6257;128;13
6257;128;23
6257;128;25
6257;128;72
6257;128;263
6257;128;294
6258;128;13
6258;128;23
6258;128;72
6258;128;112
6258;128;255
6258;128;294
6259;128;13
6259;128;24
6259;128;72
6259;128;276
6259;128;294
6260;128;13
6260;128;23
6260;128;72
6260;128;165
6260;128;294
6261;128;13
6261;128;23
6261;128;72
6261;128;165
6261;128;294
6262;128;13
6262;128;23
6262;128;72
6262;128;105
6262;128;131
6262;128;163
6262;128;165
6262;128;294
6263;128;11
6263;128;26
6263;128;72
6263;128;178
6263;128;294
6264;128;11
6264;128;26
6264;128;72
6264;128;178
6264;128;182
6264;128;294
6265;128;11
6265;128;26
6265;128;72
6265;128;178
6265;128;294
6266;128;13
6266;128;25
6266;128;72
6266;128;103
6266;128;131
6266;128;294
6267;128;13
6267;128;25
6267;128;72
6267;128;103
6267;128;294
6268;128;13
6268;128;25
6268;128;72
6268;128;103
6268;128;294
6269;128;13
6269;128;21
6269;128;24
6269;128;82
6269;128;174
6269;128;294
6270;128;11
6270;128;26
6270;128;82
6270;128;173
6270;128;294
6271;128;13
6271;128;23
6271;128;82
6271;128;165
6271;128;294
6272;128;13
6272;128;23
6272;128;82
6272;128;165
6272;128;294
6273;128;13
6273;128;21
6273;128;73
6273;128;111
6273;128;294
6274;128;13
6274;128;21
6274;128;73
6274;128;111
6274;128;294
6275;128;13
6275;128;23
6275;128;73
6275;128;111
6275;128;294
6276;128;11
6276;128;26
6276;128;73
6276;128;182
6276;128;255
6276;128;294
6277;128;13
6277;128;26
6277;128;73
6277;128;262
6277;128;294
6278;128;13
6278;128;26
6278;128;73
6278;128;262
6278;128;294
6279;128;13
6279;128;23
6279;128;73
6279;128;165
6279;128;294
6280;128;12
6280;128;82
6280;128;90
6280;128;294
6280;128;305
6281;128;12
6281;128;27
6281;128;82
6281;128;90
6281;128;294
6282;128;11
6282;128;21
6282;128;26
6282;128;82
6282;128;178
6282;128;294
6283;128;11
6283;128;21
6283;128;26
6283;128;82
6283;128;178
6283;128;294
6284;128;11
6284;128;26
6284;128;76
6284;128;271
6284;128;294
6285;128;11
6285;128;26
6285;128;76
6285;128;271
6285;128;294
6286;128;11
6286;128;26
6286;128;76
6286;128;271
6286;128;294
6287;128;11
6287;128;26
6287;128;76
6287;128;271
6287;128;294
6288;128;11
6288;128;26
6288;128;76
6288;128;271
6288;128;294
6289;128;11
6289;128;26
6289;128;76
6289;128;271
6289;128;294
6290;128;13
6290;128;25
6290;128;76
6290;128;115
6290;128;294
6291;128;13
6291;128;25
6291;128;76
6291;128;115
6291;128;294
6292;128;13
6292;128;76
6292;128;115
6292;128;294
6292;128;305
6293;128;12
6293;128;27
6293;128;76
6293;128;108
6293;128;294
6294;128;13
6294;128;21
6294;128;26
6294;128;76
6294;128;174
6294;128;294
6295;128;12
6295;128;76
6295;128;129
6295;128;294
6295;128;305
6296;128;13
6296;128;76
6296;128;115
6296;128;294
6296;128;305
6297;128;11
6297;128;26
6297;128;76
6297;128;173
6297;128;294
6298;128;11
6298;128;26
6298;128;76
6298;128;173
6298;128;294
6299;128;12
6299;128;27
6299;128;76
6299;128;110
6299;128;294
6300;128;12
6300;128;76
6300;128;110
6300;128;294
6300;128;305
6301;128;13
6301;128;23
6301;128;76
6301;128;165
6301;128;195
6301;128;294
6302;128;11
6302;128;21
6302;128;26
6302;128;76
6302;128;178
6302;128;294
6303;128;13
6303;128;26
6303;128;76
6303;128;224
6303;128;294
6304;128;13
6304;128;26
6304;128;77
6304;128;262
6304;128;294
6305;128;13
6305;128;25
6305;128;77
6305;128;262
6305;128;294
6306;128;13
6306;128;27
6306;128;77
6306;128;262
6306;128;294
6307;128;11
6307;128;26
6307;128;77
6307;128;271
